car_model_link,car_model_name,car_series_name
,,
"/car-specs/Toyota/122665/Toyota-Highlander-25-Hybrid-AWD.html,/car-specs/Toyota/M11213/Highlander,/car-specs/Toyota/M11213/Highlander","Toyota Highlander 2.5 Hybrid AWD Car Specs,View more information about Toyota Highlander",Highlander
"/car-specs/Toyota/127433/Toyota-Yaris-Cross-15-VVT-i.html,/car-specs/Toyota/127434/Toyota-Yaris-Cross-15-VVT-i-Auto.html,/car-specs/Toyota/127435/Toyota-Yaris-Cross-15-Hybrid.html,/car-specs/Toyota/M11883/Yaris-Cross,/car-specs/Toyota/M11883/Yaris-Cross","Toyota Yaris Cross 1.5 VVT-i Car Specs,Toyota Yaris Cross 1.5 VVT-i Auto Car Specs,Toyota Yaris Cross 1.5 Hybrid Car Specs,View more information about Toyota Yaris Cross",Yaris Cross
"/car-specs/Toyota/127031/Toyota-Camry-2021-(XV70-EU)-Camry-25-Hybrid-Active.html,/car-specs/Toyota/M11817/Camry-2021-(XV70-EU),/car-specs/Toyota/M11817/Camry-2021-(XV70-EU)","Toyota Camry 2021 (XV70 EU) Camry 2.5 Hybrid Active Car Specs,View more information about Toyota Camry 2021 (XV70 EU)",Camry 2021 (XV70 EU)
"/car-specs/Toyota/118505/Toyota-C-HR-2020-12T.html,/car-specs/Toyota/118507/Toyota-C-HR-2020-18-Hybrid.html,/car-specs/Toyota/118512/Toyota-C-HR-2020-20-Hybrid.html,/car-specs/Toyota/M10580/C-HR-2020,/car-specs/Toyota/M10580/C-HR-2020","Toyota C-HR 2020 1.2T Car Specs,Toyota C-HR 2020 1.8 Hybrid Car Specs,Toyota C-HR 2020 2.0 Hybrid Car Specs,View more information about Toyota C-HR 2020",C-HR 2020
"/car-specs/Toyota/127994/Toyota-Hilux-2021-Double-Cab-24-D-4D-4WD.html,/car-specs/Toyota/127999/Toyota-Hilux-2021-Double-Cab-28-D-4D-4WD-Auto.html,/car-specs/Toyota/127995/Toyota-Hilux-2021-Double-Cab-24-D-4D-4WD-Auto.html,/car-specs/Toyota/127996/Toyota-Hilux-2021-Double-Cab-28-D-4D-4WD-Auto-Invincible.html,/car-specs/Toyota/127997/Toyota-Hilux-2021-Double-Cab-28-D-4D-4WD-Invincible.html,/car-specs/Toyota/127998/Toyota-Hilux-2021-Double-Cab-28-D-4D-4WD.html,/car-specs/Toyota/M11986/Hilux-2021-Double-Cab,/car-specs/Toyota/M11986/Hilux-2021-Double-Cab","Toyota Hilux 2021 Double-Cab 2.4 D-4D 4WD Car Specs,Toyota Hilux 2021 Double-Cab 2.8 D-4D 4WD Auto Car Specs,Toyota Hilux 2021 Double-Cab 2.4 D-4D 4WD Auto Car Specs,Toyota Hilux 2021 Double-Cab 2.8 D-4D 4WD Auto Invincible Car Specs,Toyota Hilux 2021 Double-Cab 2.8 D-4D 4WD Invincible Car Specs,Toyota Hilux 2021 Double-Cab 2.8 D-4D 4WD Car Specs,View more information about Toyota Hilux 2021 Double-Cab",Hilux 2021 Double-Cab
"/car-specs/Toyota/127991/Toyota-Hilux-2021-Extra-Cab-24-D-4D-4WD.html,/car-specs/Toyota/127992/Toyota-Hilux-2021-Extra-Cab-28-D-4D-4WD-Invincible.html,/car-specs/Toyota/128000/Toyota-Hilux-2021-Extra-Cab-28-D-4D-4WD.html,/car-specs/Toyota/128001/Toyota-Hilux-2021-Extra-Cab-24-D-4D-4WD-Auto.html,/car-specs/Toyota/128002/Toyota-Hilux-2021-Extra-Cab-28-D-4D-4WD-Auto.html,/car-specs/Toyota/128003/Toyota-Hilux-2021-Extra-Cab-28-D-4D-4WD-Auto-Invincible.html,/car-specs/Toyota/M12027/Hilux-2021-Extra-Cab,/car-specs/Toyota/M12027/Hilux-2021-Extra-Cab","Toyota Hilux 2021 Extra-Cab 2.4 D-4D 4WD Car Specs,Toyota Hilux 2021 Extra-Cab 2.8 D-4D 4WD Invincible Car Specs,Toyota Hilux 2021 Extra-Cab 2.8 D-4D 4WD Car Specs,Toyota Hilux 2021 Extra-Cab 2.4 D-4D 4WD Auto Car Specs,Toyota Hilux 2021 Extra-Cab 2.8 D-4D 4WD Auto Car Specs,Toyota Hilux 2021 Extra-Cab 2.8 D-4D 4WD Auto Invincible Car Specs,View more information about Toyota Hilux 2021 Extra-Cab",Hilux 2021 Extra-Cab
"/car-specs/Toyota/119454/Toyota-Yaris-(XP21)-10-VVT-i.html,/car-specs/Toyota/119455/Toyota-Yaris-(XP21)-15-VVT-i.html,/car-specs/Toyota/119544/Toyota-Yaris-(XP21)-GR.html,/car-specs/Toyota/119458/Toyota-Yaris-(XP21)-15-Hybrid.html,/car-specs/Toyota/M10776/Yaris-(XP21),/car-specs/Toyota/M10776/Yaris-(XP21)","Toyota Yaris (XP21) 1.0 VVT-i Car Specs,Toyota Yaris (XP21) 1.5 VVT-i Car Specs,Toyota Yaris (XP21) GR Car Specs,Toyota Yaris (XP21) 1.5 Hybrid Car Specs,View more information about Toyota Yaris (XP21)",Yaris (XP21)
"/car-specs/Toyota/127988/Toyota-Hilux-2021-Single-Cab-24-D-4D-2WD.html,/car-specs/Toyota/127989/Toyota-Hilux-2021-Single-Cab-24-D-4D-4WD.html,/car-specs/Toyota/M12028/Hilux-2021-Single-Cab,/car-specs/Toyota/M12028/Hilux-2021-Single-Cab","Toyota Hilux 2021 Single-Cab 2.4 D-4D 2WD Car Specs,Toyota Hilux 2021 Single-Cab 2.4 D-4D 4WD Car Specs,View more information about Toyota Hilux 2021 Single-Cab",Hilux 2021 Single-Cab
"/car-specs/Toyota/115139/Toyota-Corolla-E210-Touring-Sports-12-Turbo.html,/car-specs/Toyota/116762/Toyota-Corolla-E210-Touring-Sports-12-Turbo-Auto.html,/car-specs/Toyota/115143/Toyota-Corolla-E210-Touring-Sports-18-Hybrid.html,/car-specs/Toyota/115148/Toyota-Corolla-E210-Touring-Sports-20-Hybrid.html,/car-specs/Toyota/M10682/Corolla-E210-Touring-Sports,/car-specs/Toyota/M10682/Corolla-E210-Touring-Sports","Toyota Corolla E210 Touring Sports 1.2 Turbo Car Specs,Toyota Corolla E210 Touring Sports 1.2 Turbo Auto Car Specs,Toyota Corolla E210 Touring Sports 1.8 Hybrid Car Specs,Toyota Corolla E210 Touring Sports 2.0 Hybrid Car Specs,View more information about Toyota Corolla E210 Touring Sports",Corolla E210 Touring Sports
